section,row,n_section_id,n_row_id,valid
311PL,G,160,6,True
41FD,K,60,9,True
56RS,B,78,1,True
Pavilion 314,C,137,2,True
38RS,FF,248,4,True
Pavilion 307,O,89,13,True
Infield Loge Box 146,N,40,12,True
7RS,N,107,12,True
Preferred Field Box 44,O,212,13,True
49FD,B,215,2,True
Field Box FB45,S,211,16,True
101LG,G,183,6,True
Field Box FB45,L,211,10,True
Reserve R54,GG,76,6,True
Preferred Reserve VIP 55,B,77,1,True
146LG,O,40,13,True
312PR,D,141,3,True
26RS,EE,194,3,True
Infield Box Value 36,H,230,7,True
Field Box MVP 11,D,272,3,True
Loge Box 168,C,284,2,True
48FD,L,216,11,True
Infield Reserve IFR10,D,217,3,True
159LG,P,13,14,True
Field Box VIP & MVP FBMVP17,P,263,14,True
43FD,O,241,13,True
58RS,DD,86,3,True
Preferred Reserve 56,D,78,3,True
161LG,O,63,13,True
158LG,A,12,0,True
Top Deck 6,L,1,10,True
Top Deck 10,M,209,11,True
Infield Reserve IFR9,C,118,2,True
Preferred Loge Box Value 167,F,135,5,True
Pavilion 312,B,141,1,True
Loge 164,A,277,0,True
Left Field Pavilion 315,N,172,12,True
Left Field Pavilion 305,C,101,2,True
Preferred Field Value 50,J,179,9,True
Lower Reserve LR23,E,197,4,True
Infield Box 27,N,285,12,True
Lower Reserve LR27,B,193,1,True
148LG,R,36,15,True
44RS,T,189,17,True
137LG,H,75,7,True
47FD,S,213,16,True
307PL,L,89,10,True
Preferred Loge Box Value 160,P,281,14,True
All You Can Eat Right Field Pavilion VIP 302,D,114,3,True
Loge Box VIP & MVP 117,M,143,11,True
Loge Box VIP & MVP 126,A,130,0,True
Pavilion 307,K,89,9,True
46RS,HH,128,7,True
Loge Box 159,N,13,12,True
Lower Reserve LR55,E,77,4,True
Infield Reserve 24,R,255,15,True
Top Deck 8,L,52,10,True
Preferred Loge Box Value Front Row 166,A,275,0,True
Preferred Reserve Value 50,GG,80,6,True
Lower Reserve LR24,B,255,1,True
Top Deck 4,A,229,0,True
28FD,K,232,9,True
24RS,S,255,16,True
6RS,G,106,6,True
Upper Reserve 58,AA,86,0,True
Infield Loge Box 138,B,65,1,True
305PL,C,101,2,True
44FD,H,212,7,True
Loge Box VIP & MVP 128,J,121,8,True
33FD,A,292,0,True
Loge Box 159,M,13,11,True
40RS,G,264,6,True
FIELD BOX 29,A-X,,,False
Field Box VIP & MVP FBMVP3,D,164,3,True
Preferred Field Box PFB42,A,140,0,True
47FD,H,213,7,True
Field Box VIP & MVP FBMVP15,O,265,13,True
Top Deck 7,F,201,5,True
120LG,J,126,8,True
49FD,G,215,7,True
Left Field Pavilion 309,B,88,1,True
37FD,S,186,16,True
Lower Reserve LR56,A,78,0,True
Infield Box IFB26,J,218,8,True
Top Deck 6,G,1,6,True
Loge Box 160,E,281,4,True
7TD,G,201,6,True
40FD,F,208,5,True
TOP DECK VIP 6,B,1,1,True
Preferred Field Box 45,J,211,8,True
44FD,C,212,2,True
11RS,N,199,12,True
Loge Box MVP 123,F,123,5,True
Upper Reserve 42,JJ,124,8,True
Loge Box VIP & MVP 102,F,247,5,True
159LG,A,13,0,True
126LG,C,130,2,True
34FD,C,159,2,True
153LG,K,4,9,True
Loge Box VIP & MVP 114,M,144,11,True
Top Deck TD3,J,249,8,True
Lower Reserve LR28,R,133,15,True
Top Deck TD10,A,209,0,True
145LG,U,,,False
Infield Box Value VIP 39,E,196,4,True
11RS,H,199,7,True
Top Deck 5,K,289,9,True
2TD,L,182,10,True
Pavilion 306,B,115,1,True
Top Deck TD13,B,237,1,True
Field Box FB48,B,216,2,True
Top Deck 5,O,289,13,True
Loge 115,E,145,4,True
Preferred Field Box PFB38,J,195,8,True
Preferred Reserve 27,A,193,0,True
Infield Reserve IFR16,M,288,11,True
Reserve MVP 15,C,222,2,True
Preferred Field Value 49,M,215,12,True
Lower Reserve LR39,V,149,19,True
39FD,N,196,12,True
Infield Box 29,E,231,4,True
Loge Box VIP & MVP 123,R,123,15,True
Lower Reserve LR39,N,149,12,True
Preferred Field Box PFB36,C,230,2,True
Loge Box 159,C,13,2,True
35RS,D,153,3,True
164LG,M,277,11,True
8TD,A-R,,,False
Preferred Field Value 48,A,216,1,True
Infield Box 28,K,232,9,True
Preferred Reserve 24,E,255,4,True
Preferred Reserve 23,V,197,19,True
118LG,M,47,11,True
5TD,B,289,1,True
120LG,L,126,10,True
Loge 162,G,279,6,True
Preferred Loge Box Value 161,O,63,13,True
Preferred Field Box Value 51,H,180,8,True
