section,row,n_section_id,n_row_id,valid
Promenade Level 425,2,176,1,True
Excelsior Level 315,1,80,0,True
524,2,12,1,True
125,7,44,9,True
128,12,47,16,True
Field Boxes 110,17,87,21,True
417,1,93,0,True
519,4,137,3,True
328,5,203,4,True
128,10,47,14,True
113,19,88,18,True
305,3,120,2,True
317,2,78,1,True
509,4,168,3,True
112,22,89,21,True
122,7,41,6,True
415,3,94,2,True
Caesars Box 326,7,199,6,True
126,8,45,12,True
507,1-10,,,False
139,1,9,0,True
Section 110,5,87,9,True
110,20,87,24,True
110,28,87,32,True
302,4,117,3,True
126,E,45,4,True
301,4,116,3,True
Left Field 134,5,8,10,True
123,1-31,,,False
Coca Cola Corner 303,3,118,2,True
516,9,152,8,True
422,2,107,1,True
310,4,77,3,True
524,6,12,5,True
Section 327,11,200,10,True
Left Field 138,2,10,1,True
512,2,148,1,True
326,7,199,6,True
424,4,178,3,True
422,4,107,3,True
129,11,48,6,True
Caesars Box 311,5,76,4,True
523,1,38,0,True
Field Boxes 109,1,124,3,True
128,7,47,11,True
Excelsior Level 308,2,112,1,True
Metropolitan Boxes 123,13,42,12,True
512,2,148,1,True
18,15,186,10,True
123,14,42,13,True
Promenade Level 422,4,107,3,True
109,E,124,2,True
521,8,36,7,True
112,5,89,4,True
523,5,38,4,True
Promenade Level 511,1,145,0,True
403,1,31,0,True
304,2,119,1,True
109,A,124,0,True
507,2,170,1,True
128,8,47,12,True
126,2,45,6,True
107,19,130,20,True
107,5,130,6,True
Field Box 109,10,124,12,True
139,8,9,7,True
137,9,5,8,True
522,1,37,0,True
311,5,76,4,True
125,18,44,20,True
Promenade Reserved 523,5,38,4,True
134,F,8,3,True
Field Reserved 134,15,8,20,True
518,6,194,5,True
Promenade Level 509,7,168,6,True
528,5,108,4,True
305,3,120,2,True
402,1,32,0,True
Baseline Silver 129,21,48,16,True
303,3,118,2,True
Section 19,18,185,17,True
506,5,169,4,True
328,1,203,0,True
Field Boxes 109,15,124,17,True
302,5,117,4,True
327,2,200,1,True
312,7,75,6,True
126,2,45,6,True
Field Reserved 135,6,7,5,True
Promenade Reserved 521,6,36,5,True
528,1,108,0,True
303,3,118,2,True
508,1,167,0,True
123,14,42,13,True
431,1,220,0,True
Baseline Box 130,19,4,5,True
Field Reserved 103,4,127,3,True
535,15,63,14,True
122,6,41,5,True
Caesars Box 311,3,76,2,True
126,8,45,12,True
Field Box 109,14,124,16,True
Field Silver 109,2,124,4,True
502,3,173,2,True
126,1,45,5,True
116,4,85,1,True
422,3,107,2,True
123,4,42,3,True
Field Boxes 126,1,45,5,True
119,4,90,1,True
Field Boxes 126,14,45,18,True
309,4,113,3,True
